,ID,Kota_Kabupaten,Provinsi,Area,Regional,Jumlah_Kelurahan_Desa,PDRB,PDRB_Per_Kapita,Indeks_Pembangunan_Manusia,Jumlah_Penduduk,Luas_Wilayah,Dana_Alokasi_Umum,Pengeluaran_Riil_per_Kapita_ per_Tahun,Nilai_UMR,Jumlah_Penduduk_Miskin,Jumlah_Penduduk_Bekerja,Pengguna_Internet,Pemilik_Ponsel,Pengguna_Ponsel,Jumlah_Agen_Pulsa
433,434,Kab. Kepulauan Yapen,Papua,Area 4,Malpua,5/160,4240,41891,67.66,112423,2050.0,522738652,7484.0,3516700.0,27.04,50209.0,36630,51786.0,61730.0,16.0
434,435,Kab. Donggala,Sulawesi Tengah,Area 4,Sulawesi,9/158,12261,40317,65.56,300670,4275.08,627024200,8106.0,2390739.0,53.17,138929.0,94344,139603.0,191854.0,109.0
435,436,Kab. Keerom,Papua,Area 4,Malpua,-/91,2855,50001,66.4,61370,8390.0,502722947,8910.0,3516700.0,9.42,32095.0,18581,30874.0,33630.0,34.0
436,437,Kab. Kaimana,Papua Barat,Area 4,Malpua,2/84,2788,46303,65.0,62003,16241.84,574547299,8325.0,3184225.0,9.52,29502.1116,27828,32986.0,36567.0,14.0
437,438,Kab. Kepulauan Aru,Maluku,Area 4,Malpua,2/117,3476,36167,63.71,101984,8152.42,559785012,7586.0,4200279.0,25.45,45642.0,20966,37871.0,48558.0,14.0
438,439,Kab. Kutai Timur,Kalimantan Timur,Area 4,Kalimantan,2/139,133725,355547,73.0,434693,35747.5,571773275,10485.0,3140000.0,36.98,188148.0,254736,58961.0,254736.0,315.0
439,440,Kab. Boven Digoel,Papua,Area 4,Malpua,-/112,4892,70677,61.53,64032,27108.0,762608266,7947.0,3516700.0,13.86,35538.0,14230,27988.0,30815.0,11.0
440,441,Kab. Kotabaru,Kalimantan Selatan,Area 4,Kalimantan,4/198,24180,70658,68.86,325856,9482.73,591870214,11207.0,3034828.0,14.6,153439.0,141159,191539.0,237271.0,200.0
441,442,Kota Tual,Maluku,Area 4,Malpua,3/027,2458,32527,67.96,88027,254.39,370628836,7531.0,4200279.0,17.36,33034.0,32933,45026.0,57969.0,29.0
442,443,Kab. Sukamara,Kalimantan Tengah,Area 4,Kalimantan,3/097,4194,65175,68.03,63211,16404.0,389882723,8674.0,3088502.0,2.13,31712.0,32784,42379.0,48246.0,31.0
443,444,Kab. Seram Bagian Timur,Maluku,Area 4,Malpua,0/198,2905,25328,64.12,137719,6429.88,506174564,9453.0,4200279.0,26.69,53189.0,31756,58241.0,103395.0,18.0
444,445,Kab. Manokwari Selatan,Papua Barat,Area 4,Malpua,-/57,835,34486,59.84,35696,2812.44,322971817,5505.0,3184225.0,7.09,13452.9021,19285,23647.0,27130.0,23.5
445,446,Kab. Tabalong,Kalimantan Selatan,Area 4,Kalimantan,10/121,18047,70961,72.19,253052,3766.97,461740456,11283.0,2971632.0,14.7,125637.0,123961,158725.0,185758.0,188.0
446,447,Kab. Tanah Bumbu,Kalimantan Selatan,Area 4,Kalimantan,5/144,20065,55707,70.71,322880,5006.96,438026626,11718.0,2886366.0,16.83,160365.0,167306,201309.0,255915.0,271.0
447,448,Kab. Buru,Maluku,Area 4,Malpua,0/82,2404,16731,68.95,134985,4932.32,482604098,10316.0,4200279.0,24.42,72305.0,40893,62719.0,81275.0,54.0
448,449,Kab. Puncak Jaya,Papua,Area 4,Malpua,3/302,1407,10880,48.37,224274,4989.51,704292072,5282.0,3516700.0,46.07,76040.0,8127,45476.0,60526.0,3.0
449,450,Kab. Mahakam Ulu,Kalimantan Timur,Area 4,Kalimantan,0/50,2718,103062,67.09,32260,15315.0,453136962,7524.0,3309000.0,3.26,13203.0,11417,3859.0,11417.0,19.0
450,451,Kab. Tanah Laut,Kalimantan Selatan,Area 4,Kalimantan,5/130,13930,40507,69.38,349200,3631.35,505605530,11207.0,2877448.0,14.79,165710.0,167756,38852.0,218988.0,312.0
451,452,Kab. Pegunungan Arfak,Papua Barat,Area 4,Malpua,-/166,198,6398,56.33,37954,2773.74,349305628,5099.0,3184225.0,10.68,20204.261,3567,12924.0,14828.0,23.5
452,453,Kab. Pasang Kayu,Sulawesi Barat,Area 4,Sulawesi,4/59,10216,58552,67.27,188608,3043.75,460581283,8414.0,2571328.0,9.25,84512.169,76147,119834.0,138942.0,72.0
