ID;Kota_Kabupaten;Provinsi;Area;Regional;Jumlah_Kelurahan_Desa;PDRB;PDRB_Per_Kapita;Indeks_Pembangunan_Manusia;Jumlah_Penduduk;Luas_Wilayah;Dana_Alokasi_Umum;Pengeluaran_Riil_per_Kapita_ per_Tahun;Nilai_UMR;Jumlah_Penduduk_Miskin;Jumlah_Penduduk_Bekerja;Pengguna_Internet;Pemilik_Ponsel;Pengguna_Ponsel;Jumlah_Agen_Pulsa
1;Kota Sungai Penuh;Jambi;Area 1;Sumbagsel;4/65;7488;82367;75.42;96357;391.5;414326985;10248;0;2.78;41806;46893;59407;72385;37
2;Kab. Lampung Tengah;Lampung;Area 1;Lampung;10/301;71953;56156;70.16;1461172;3802.68;1259528176;11219;2442413;152.28;662539;943592;759070;1115607;705
3;Kab. Mesuji;Lampung;Area 1;Lampung;0/105;10578;52835;63.63;227265;2184;410246380;7984;2588912;14.72;95531;132091;114985;175374;71
4;Kab. Kepahiang;Bengkulu;Area 1;Sumbagsel;12/105;4321;31498;68.17;149484;665;403631660;9273;0;20.27;0;54865;80981;96905;46
5;Kab. Kerinci;Jambi;Area 1;Sumbagsel;2/285;10123;42413;71.21;250006;3355.27;570389068;9995;0;17.48;118080;28639;160714;187258;82
6;Kab. Lampung Utara;Lampung;Area 1;Lampung;15/232;24124;39105;67.67;632072;2725.87;888494843;8733;2461850;119.35;286377;388590;327835;437688;332
7;Kota Bandar Lampung;Lampung;Area 1;Lampung;126/-;59507;56593;77.44;1165039;296;1025122725;12197;2653223;93.74;475244;831424;773555;840657;986
8;Kab. Rejang Lebong;Bengkulu;Area 1;Sumbagsel;34/122;9370;35914;70.44;276392;1639.98;566437095;10234;0;41.47;0;105399;146340;192097;113
9;Kab. Pesisir Barat;Lampung;Area 1;Lampung;2/116;4649;30017;63.91;162444;2907.23;406509124;8457;2432002;22.24;73228;93156;81364;114132;70
10;Kota Gunungsitoli;Sumatera Utara;Area 1;Sumbagut;101;5514;38714;69.31;135764;280.78;408549541;7980;2603246;23.54;63815;46349;67251;96688;60
11;Kota Sibolga;Sumatera Utara;Area 1;Sumbagut;17/-;5532;63127;73.63;89331;41.31;393325325;11473;3004000;10.49;44305;43001;50546;69167;45
12;Kota Medan;Sumatera Utara;Area 1;Sumbagut;151/-;241482;105918;80.98;2436379;265.1;1560956851;14890;3222557;183.54;1134643;1369367;1599492;1948139;2512
13;Kota Tanjung Balai;Sumatera Utara;Area 1;Sumbagut;31/-;8951;51086;68.65;175774;107.83;412466823;11132;2822425;23.54;82977;72683;95592;138206;103
14;Kab. Nias;Sumatera Utara;Area 1;Sumbagut;-/170;3825;27562;61.93;146419;1842.51;419794128;6898;2560336;23.12;74942;28786;51622;81878;32
15;Kab. Nias Selatan;Sumatera Utara;Area 1;Sumbagut;3/457;6861;21449;61.89;360765;1825.2;628496268;6974;no data;53.88;165452;63645;123047;169852;54
16;Kab. Bintan;Kepulauan Riau;Area 1;Sumbagteng;15/36;21301;133630;74.13;159265;590.14;487690253;14482;3648714;10.21;51939;93450;110204;123392;251
17;Kab. Samosir;Sumatera Utara;Area 1;Sumbagut;6/128;4435;35144;70.63;136188;2069.05;422251066;8422;2648577;15.8;45588;37520;61362;87599;82
18;Kab. Seluma;Bengkulu;Area 1;Sumbagsel;20/182;4603;23752;66.89;207624;2400.44;477383614;8220;0;36.23;0;66410;100758;135296;73
19;Kota Payakumbuh;Sumatera Barat;Area 1;Sumbagteng;47/-;6829;50368;78.9;139323;85.22;423286932;13281;2913366;7.74;65892;78839;89816;115956;118
20;Kab. Lampung Selatan;Lampung;Area 1;Lampung;4/256;45108;44605;68.36;1063274;700.32;969397256;9875;2567168;143.33;445328;659934;554128;750583;600
21;Kab. Nias Barat;Sumatera Utara;Area 1;Sumbagut;-/105;1817;20955;61.51;89741;473.73;333762307;5830;no data;22.33;27785;15817;31381;46847;16
22;Kota Jambi;Jambi;Area 1;Sumbagsel;62/-;30856;51024;78.37;605173;103.54;690724772;12056;0;50.44;286387;130319;480575;480575;634
23;Kab. Tulang Bawang Barat;Lampung;Area 1;Lampung;3/093;11521;42167;65.97;285909;1201;443399456;8395;2472144;20.29;136136;171482;150531;230801;132
24;Kab. Simalungun;Sumatera Utara;Area 1;Sumbagut;27/386;38057;43849;73.25;989219;4386.6;1146405476;11308;2607089;73.64;460319;399307;599600;813215;611
25;Kab. Kaur;Bengkulu;Area 1;Sumbagsel;3/192;3524;29075;66.99;126298;2369.05;415365742;8593;0;22.57;0;37221;61035;74000;52
26;Kab. Serdang Bedagai;Sumatera Utara;Area 1;Sumbagut;6/237;27959;45360;70.24;656463;1900.22;734027202;10950;2869292;49.18;314818;191063;329677;479709;487
27;Kab. Tulang Bawang;Lampung;Area 1;Lampung;4/147;23290;51652;68.52;430255;3466.32;580505819;10863;2443413;42.43;208672;276683;245591;348357;173
28;Kab. Asahan;Sumatera Utara;Area 1;Sumbagut;27/177;37440;51303;70.29;768933;3702.21;837408029;10890;2814735;66.32;317794;260118;436096;550062;484
29;Kab. Tanjung Jabung Barat;Jambi;Area 1;Sumbagsel;20/114;43303;129676;67.54;317732;4649.85;490342499;9480;0;34.79;166179;21910;173773;220457;161
30;Kab. Merangin;Jambi;Area 1;Sumbagsel;10/205;15377;39538;69.19;354286;7679;669437069;10279;0;33.92;187523;27518;185929;218049;175
31;Kota Sabang;Aceh;Area 1;Sumbagut;-/18;1533;43948;75.78;40944;153;339726509;11273;4200479;5.27;17071;11669;11669;12827;49
32;Kota Padangsidimpuan;Sumatera Utara;Area 1;Sumbagut;37/42;6373;28730;75.22;224852;114.66;478792324;10856;2676209;16.56;120647;119233;130141;176392;131
33;Kab. Mandailing Natal;Sumatera Utara;Area 1;Sumbagut;27/380;13545;30282;66.79;473120;6134;754946034;9684;2691808;41.31;206000;105597;167558;280350;178
34;Kab. Bengkulu Selatan;Bengkulu;Area 1;Sumbagsel;16/142;5701;35992;70.63;165996;1186.1;525650342;9837;0;28.41;0;57714;92389;130128;74
35;Kota Palembang;Sumatera Selatan;Area 1;Sumbagsel;107/-;154805;93094;78.33;1669975;369.22;1235336955;14679;3270093.78;182.61;756546;862504;1126403;1288094;1680
36;Kab. Karimun;Kepulauan Riau;Area 1;Sumbagteng;29/42;13537;58149;71.44;253204;912.75;422360762;11885;3335902;15.99;249375;122592;159129;179511;314
37;Kota Metro;Lampung;Area 1;Lampung;22/0;6365;38023;77.19;168423;61.79;437364108;11906;2433381;14.31;81896;118600;112193;127174;148
38;Kab. Lampung Barat;Lampung;Area 1;Lampung;5/131;7188;23737;67.8;302373;2142.78;500613338;9929;2526546;38.12;171849;186017;164727;220038;131
39;Kab. Pringsewu;Lampung;Area 1;Lampung;5/126;11252;28116;70.3;405700;625;582828145;10262;2432002;40.12;191320;260693;191645;291769;193
40;Kab. Tapanuli Selatan;Sumatera Utara;Area 1;Sumbagut;36/212;13932;49418;70.12;301145;6030.47;609162427;11236;2903042;23.96;152658;74426;128152;190928;118
41;Kab. Nias Utara;Sumatera Utara;Area 1;Sumbagut;1/112;3516;25484;62.36;147021;1202.78;393721097;6064;2509536;34.75;66776;32802;51491;87923;40
42;Kab. Way Kanan;Lampung;Area 1;Lampung;6/221;14124;31379;67.44;473809;3921.63;626301547;9102;2617538;58.41;238736;288216;225307;342064;200
43;Kab. Tanjung Jabung Timur;Jambi;Area 1;Sumbagsel;20/73;24696;112263;64.43;229560;5445;523900364;9026;0;24.23;113773;13151;128222;158385;96
44;Kab. Tanggamus;Lampung;Area 1;Lampung;3/299;15645;26150;66.42;639248;3020.64;725176840;9250;2432002;70.37;288992;388301;303649;456525;222
44;Kota Lubuklinggau;Sumatera Selatan;Area 1;Sumbagsel;72/-;6657;28664;74.78;233913;401.5;451901335;13243;3144446;29.8;112078;107708;152096;173596;159
46;Kab. Langkat;Sumatera Utara;Area 1;Sumbagut;37/240;42515;40810;71;1029175;6262;1106713503;11071;2711000;101.87;539583;328174;544946;692183;762
47;Kab. Lebong;Bengkulu;Area 1;Sumbagsel;11/93;3346;28698;67.01;106040;1921.82;377859122;11124;0;13.97;0;35763;49174;64761;39
48;Kab. Pesawaran;Lampung;Area 1;Lampung;0/144;16403;36912;65.79;477702;2243.51;624502440;7892;2432002;66.04;207785;284772;240059;364460;245
49;Kab. Lampung Timur;Lampung;Area 1;Lampung;0/264;42541;40736;69.37;1109313;5325.03;1015031133;9983;2431150;153.57;514297;711113;600402;872361;558
50;Kota Bengkulu;Bengkulu;Area 1;Sumbagsel;67/-;23201;60241;80.36;373825;151.7;649681045;13938;0;69.12;0;246784;257942;320307;316
51;Kab. Pesisir Selatan;Sumatera Barat;Area 1;Sumbagteng;-/182;14045;30274;69.9;504652;5749.89;792358743;9212;2232852;35.46;222264;166293;249463;368402;257
52;Kota Binjai;Sumatera Utara;Area 1;Sumbagut;37/-;11700;42300;75.89;291589;59.19;544802063;10997;2614781;15.91;139445;130095;182128;205496;253
53;Kab. Toba Samosir;Sumatera Utara;Area 1;Sumbagut;13/231;7677;41788;75.16;205946;2328.89;522549596;12154;2668615;16.05;104719;80426;110838;166878;142
54;Kab. Labuhan Batu Utara;Sumatera Utara;Area 1;Sumbagut;90;24378;67007;71.61;382228;3570.98;562869404;11779;2869293;34.86;175830;106643;196527;257333;193
55;Kab. Bengkulu Utara;Bengkulu;Area 1;Sumbagsel;5/215;8253;26622;68.82;296757;4324.6;590458935;10263;0;36.67;0;104019;147526;197894;123
