ID;Kota_Kabupaten;Provinsi;Area;Regional;Jumlah_Kelurahan_Desa;PDRB;PDRB_Per_Kapita;Indeks_Pembangunan_Manusia;Jumlah_Penduduk;Luas_Wilayah;Dana_Alokasi_Umum;Pengeluaran_Riil_per_Kapita_ per_Tahun;Nilai_UMR;Jumlah_Penduduk_Miskin;Jumlah_Penduduk_Bekerja;Pengguna_Internet;Pemilik_Ponsel;Pengguna_Ponsel;Jumlah_Agen_Pulsa
158;Kab. Majalengka;Jawa Barat;Area 2;Jabar;13/330;30912;25652;67.59;1304449;1204.24;1134532450;9416;1944166.36;138.21;600450;562635;736648;876732;624
159;Kab. Sukabumi;Jawa Barat;Area 2;Jabar;5/381;67406;27331;66.88;2726577;4145.7;1514827358;8618;3028531.71;175.1;1031213;1316741;1421519;1684717;1093
160;Kota Tasikmalaya;Jawa Barat;Area 2;Jabar;69/-;21755;32787;73.04;715128;171.61;759061154;9855;2264093.28;86.13;301081;329006;443568;469390;444
161;Kota Jakarta Selatan;DKI Jakarta;Area 2;Jabo Inner;65/-;648231;286233;84.72;2227939;141.27;0;2625288.26;4267349;78.09;1011605;578643;1669822;1839014;4154
162;Kab. Sumedang;Jawa Barat;Area 2;Jabar;7/270;35448;30760;71.64;1151480;1518.33;1082326099;10153;3139275.37;118.38;526229;583947;699219;835858;692
163;Kota Bandung;Jawa Barat;Area 2;Jabar;151/-;289312;115361;81.51;2445287;167.67;1601834557;16630;3623778.91;100.02;1183193;1735666;1763263;1928166;2477
164;Kab. Tasikmalaya;Jawa Barat;Area 2;Jabar;-/351;37219;21218;65.67;1866330;2551.19;1403102763;7761;2251787.92;181.52;813411;690165;978623;1225602;665
165;Kab. Pangandaran;Jawa Barat;Area 2;Jabar;-/93;11323;28358;68.06;423901;1010;514231954;8968;1860591.33;36.05;223517;179752;247446;301679;263
166;Kab. Garut;Jawa Barat;Area 2;Jabar;21/421;57579;21956;66.12;2586734;3074.07;1697761221;7597;1961085.7;262.78;1071026;1057376;1271293;1571623;1175
167;Kota Jakarta Timur;DKI Jakarta;Area 2;Jabo Inner;65/-;492191;167534;82.66;3038266;188.03;0;1958914.61;4267349;122.73;1257752;684548;2137043;2444334;2697
